Product Name,Model,SKU,Category,Brands,Price (Special Price),Quantity,Total,Points,Weight,Store,Status
Aquamarine Beauties,BP8005,,Footwears,Beyond Pink,1690.0000,6,10140,0,0.00000000,Default,Enabled
,Size/36,,,,+0.0000,1,1690,+0,+0.00000000,Default,
,Size/37,,,,+0.0000,1,1690,+0,+0.00000000,Default,
,Size/38,,,,+0.0000,1,1690,+0,+0.00000000,Default,
,Size/39,,,,+0.0000,1,1690,+0,+0.00000000,Default,
,Size/40,,,,+0.0000,1,1690,+0,+0.00000000,Default,
,Size/41,,,,+0.0000,1,1690,+0,+0.00000000,Default,
Babydoll Skater Dress,BP1017,,Womens &gt; Dress,Beyond Pink,1690.0000,40,67600,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,15210,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,11,18590,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,16900,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,16900,+0,+0.00000000,Default,
Back Button Stripe Top,BP4005,,"Womens,Womens &gt; Top",Beyond Pink,1350.0000,43,58050,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,8,10800,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,12150,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,10800,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,12150,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,12150,+0,+15.00000000,Default,
Beard ,BP9007,,Bellerinas,Beyond Pink,799.0000,19,15181,0,0.00000000,Default,Enabled
,Size/4,,,,+0.0000,5,3995,+0,+0.00000000,Default,
,Size/5,,,,+0.0000,5,3995,+0,+0.00000000,Default,
,Size/6,,,,+0.0000,4,3196,+0,+0.00000000,Default,
,Size/7,,,,+0.0000,5,3995,+0,+0.00000000,Default,
Beyond Pink  Tulip Dress,BP1024,,"Womens,Womens &gt; Dress",Beyond Pink,1850.0000,45,83250,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,16650,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,16650,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,16650,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,16650,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,16650,+0,+7.00000000,Default,
Beyond Pink Bodycon Dress,BP1065,,Womens &gt; Dress,Beyond Pink,1899.0000 (1599.0000),38,72162,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,17091,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,18990,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,17091,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,18990,+0,+0.00000000,Default,
Beyond Pink Bodycon Printed Dress,BP1064,,Womens &gt; Dress,Beyond Pink,1499.0000 (1500.0000),36,53964,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,14990,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,13491,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,7,10493,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,14990,+0,+0.00000000,Default,
Beyond Pink Bow Dress,BP1086,,Womens &gt; Dress,Beyond Pink,1650.0000,16,26400,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,7,11550,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,0,0,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,0,0,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,14850,+0,+0.00000000,Default,
Beyond Pink Crochet Dress With Low Back,BP1108,,Womens &gt; Dress,Beyond Pink,2450.0000,48,117600,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,22050,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,22050,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,12,29400,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,22050,+0,+0.00000000,Default,
,Size/XS,,,,+0.0000,9,22050,+0,+0.00000000,Default,
Beyond Pink Hem Dress,BP1060,,Womens &gt; Dress,Beyond Pink,2350.0000,36,84600,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,23500,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,18800,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,8,18800,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,23500,+0,+0.00000000,Default,
Beyond Pink Long Dress,BP1052,,Womens &gt; Dress,Beyond Pink,2150.0000,36,77400,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,10,21500,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,8,17200,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,19350,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,19350,+0,+0.00000000,Default,
